first_seen,score,company,title,location,salary,source,published_at,url,job_id
2026-07-17T23:37:18.616889+00:00,63,Anduril,"Recruiter, Security","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5188358007?gh_jid=5188358007,gh:andurilindustries:5188358007
2026-07-20T20:51:54.375858+00:00,59,Samsara,Contract Recruiter  - GTM,Remote - US,,Greenhouse,,https://www.samsara.com/company/careers/roles/7377416?gh_jid=7377416,gh:samsara:7377416
2026-07-22T17:51:17.169017+00:00,65,Braze,Fixed-Term Contract Technical Recruiter II,Austin,,Greenhouse,,https://boards.greenhouse.io/braze/jobs/8079883?gh_jid=8079883,gh:braze:8079883
2026-07-23T06:43:59.475673+00:00,88,Anduril,"Senior Leadership Recruiter, Hardware","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5193413007?gh_jid=5193413007,gh:andurilindustries:5193413007
2026-07-24T23:45:24.111028+00:00,78,Roblox,Senior Technical Recruiter,"San Mateo, CA, United States",,Greenhouse,,https://careers.roblox.com/jobs/8078014?gh_jid=8078014,gh:roblox:8078014
2026-07-27T22:16:21.481119+00:00,73,Anduril,"Technical Recruiter, Hardware","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5138077007?gh_jid=5138077007,gh:andurilindustries:5138077007
2026-07-29T16:04:53.660108+00:00,83,Chime,Lead Technical Recruiter,"San Francisco, CA, USA",,Greenhouse,,https://boards.greenhouse.io/chime/jobs/8643775002?gh_jid=8643775002,gh:chime:8643775002
2026-07-29T16:04:53.660108+00:00,55,MongoDB,Contract Recruiter,Austin; Chicago; Dallas; Denver; Los Angeles,,Greenhouse,,https://www.mongodb.com/careers/job/?gh_jid=8092135,gh:mongodb:8092135
2026-07-30T20:42:50.581414+00:00,84,Anduril,Senior Technical Recruiter (Contract),"Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5198797007?gh_jid=5198797007,gh:andurilindustries:5198797007
2026-07-30T20:42:50.581414+00:00,80,Anduril,Senior Executive Recruiter,"Washington, District of Columbia, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5151696007?gh_jid=5151696007,gh:andurilindustries:5151696007
2026-07-31T10:17:22.718922+00:00,80,Anduril,"Senior Technical Recruiter, Deployment Operations","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5199023007?gh_jid=5199023007,gh:andurilindustries:5199023007
2026-07-31T10:17:22.718922+00:00,69,Anduril,"Technical Recruiter, Production Engineering (Contract)","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/4624170007?gh_jid=4624170007,gh:andurilindustries:4624170007
2026-08-03T22:36:40.361175+00:00,80,Anduril,"Senior Technical Recruiter, Global Logistics (Contract) ","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5202215007?gh_jid=5202215007,gh:andurilindustries:5202215007
2026-08-03T22:36:40.361175+00:00,80,Anduril,"Senior Technical Recruiter, Mission Readiness (Contract) ","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5202192007?gh_jid=5202192007,gh:andurilindustries:5202192007
2026-08-03T22:36:40.361175+00:00,80,Anduril,"Senior Technical Recruiter, Training & Adoption (Contract) ","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5202207007?gh_jid=5202207007,gh:andurilindustries:5202207007
2026-08-03T22:36:40.361175+00:00,69,Anduril,"Technical Recruiter, Supply Chain Procurement (Contract) ","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5202200007?gh_jid=5202200007,gh:andurilindustries:5202200007
2026-08-03T22:36:40.361175+00:00,69,Anduril,"Technical Recruiter, Technical Publications (Contract) ","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5202194007?gh_jid=5202194007,gh:andurilindustries:5202194007
2026-08-04T08:07:45.615641+00:00,61,Anduril,R4R Recruiter,"Seattle, Washington, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5162366007?gh_jid=5162366007,gh:andurilindustries:5162366007
2026-08-04T20:57:19.557121+00:00,75,Samsara,"Technical Recruiter, Software Engineering",Remote - US,,Greenhouse,,https://www.samsara.com/company/careers/roles/8054239?gh_jid=8054239,gh:samsara:8054239
2026-08-05T06:14:13.358152+00:00,68,Anduril,"Senior Recruiting Manager, Advanced Effects","Costa Mesa, California, United States",,Greenhouse,,https://boards.greenhouse.io/andurilindustries/jobs/5199003007?gh_jid=5199003007,gh:andurilindustries:5199003007
2026-08-05T18:08:37.475863+00:00,76,Brex,Principal Design Recruiter,"San Francisco, California, United States",,Greenhouse,,https://www.brex.com/careers/8683894002?gh_jid=8683894002,gh:brex:8683894002
2026-08-05T18:08:37.475863+00:00,76,Brex,Principal Design Recruiter,"Seattle, Washington, United States",,Greenhouse,,https://www.brex.com/careers/8683984002?gh_jid=8683984002,gh:brex:8683984002
2026-08-05T18:08:37.475863+00:00,76,Brex,Principal Design Recruiter,"New York, New York, United States",,Greenhouse,,https://www.brex.com/careers/8683972002?gh_jid=8683972002,gh:brex:8683972002
